Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsHC,AsHC486,26,NA,0,NA,AsOC28H59,487.38601093
AsHC,AsHC500,27,NA,0,NA,AsOC29H61,501.401661
AsHC,AsHC514,28,NA,0,NA,AsOC30H63,515.41731107
AsHC,AsHC528,29,NA,0,NA,AsOC31H65,529.43296114
AsHC,AsHC542,30,NA,0,NA,AsOC32H67,543.44861121
AsHC,AsHC302,13,NA,1,NA,AsOC15H31,303.16690995
AsHC,AsHC316,14,NA,1,NA,AsOC16H33,317.18256002
AsHC,AsHC330,15,NA,1,NA,AsOC17H35,331.19821009
AsHC,AsHC344,16,NA,1,NA,AsOC18H37,345.21386016
AsHC,AsHC358,17,NA,1,NA,AsOC19H39,359.22951023
AsHC,AsHC372,18,NA,1,NA,AsOC20H41,373.2451603
AsHC,AsHC386,19,NA,1,NA,AsOC21H43,387.26081037
AsHC,AsHC400,20,NA,1,NA,AsOC22H45,401.27646044
AsHC,AsHC414,21,NA,1,NA,AsOC23H47,415.29211051
AsHC,AsHC428,22,NA,1,NA,AsOC24H49,429.30776058
AsHC,AsHC442,23,NA,1,NA,AsOC25H51,443.32341065
AsHC,AsHC456,24,NA,1,NA,AsOC26H53,457.33906072
AsHC,AsHC470,25,NA,1,NA,AsOC27H55,471.35471079
AsHC,AsHC484,26,NA,1,NA,AsOC28H57,485.37036086
AsHC,AsHC498,27,NA,1,NA,AsOC29H59,499.38601093
AsHC,AsHC512,28,NA,1,NA,AsOC30H61,513.401661
AsHC,AsHC526,29,NA,1,NA,AsOC31H63,527.41731107
AsHC,AsHC540,30,NA,1,NA,AsOC32H65,541.43296114
AsHC,AsHC300,13,NA,2,NA,AsOC15H29,301.15125988
AsHC,AsHC314,14,NA,2,NA,AsOC16H31,315.16690995
AsHC,AsHC328,15,NA,2,NA,AsOC17H33,329.18256002
AsHC,AsHC342,16,NA,2,NA,AsOC18H35,343.19821009
AsHC,AsHC356,17,NA,2,NA,AsOC19H37,357.21386016
AsHC,AsHC370,18,NA,2,NA,AsOC20H39,371.22951023
AsHC,AsHC384,19,NA,2,NA,AsOC21H41,385.2451603
AsHC,AsHC398,20,NA,2,NA,AsOC22H43,399.26081037
AsHC,AsHC412,21,NA,2,NA,AsOC23H45,413.27646044
AsHC,AsHC426,22,NA,2,NA,AsOC24H47,427.29211051
AsHC,AsHC440,23,NA,2,NA,AsOC25H49,441.30776058
AsHC,AsHC454,24,NA,2,NA,AsOC26H51,455.32341065
AsHC,AsHC468,25,NA,2,NA,AsOC27H53,469.33906072
AsHC,AsHC482,26,NA,2,NA,AsOC28H55,483.35471079
AsHC,AsHC496,27,NA,2,NA,AsOC29H57,497.37036086
AsHC,AsHC510,28,NA,2,NA,AsOC30H59,511.38601093
AsHC,AsHC524,29,NA,2,NA,AsOC31H61,525.401661
AsHC,AsHC538,30,NA,2,NA,AsOC32H63,539.41731107
AsHC,AsHC298,13,NA,3,NA,AsOC15H27,299.13560981
AsHC,AsHC312,14,NA,3,NA,AsOC16H29,313.15125988
AsHC,AsHC326,15,NA,3,NA,AsOC17H31,327.16690995
AsHC,AsHC340,16,NA,3,NA,AsOC18H33,341.18256002
AsHC,AsHC354,17,NA,3,NA,AsOC19H35,355.19821009
