sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
100;486.323;7902.49718911176;486.335;100.0004000016;486.347;100.0004000016;486.358;0;486.358;0
101;486.369;6001.44034568296;486.381;100.0004000016;486.392;200.0016000128;486.404;0;486.404;0
102;486.415;5101.04061228491;486.427;100.0004000016;486.438;0;486.45;0;486.45;NaN
103;486.461;6201.53798141939;486.473;0;486.484;100.0004000016;486.496;0;486.496;0
104;486.507;6701.7960813498;486.519;100.0004000016;486.53;100.0004000016;486.542;0;486.542;0
105;486.553;6601.74286011507;486.564;0;486.576;0;486.587;0;486.587;NaN
106;486.599;5501.21026625858;486.61;0;486.622;200.0016000128;486.633;0;486.633;0
107;486.645;5801.34591225164;486.656;100.0004000016;486.668;0;486.679;0;486.679;NaN
108;486.69;5801.34591225164;486.702;0;486.714;0;486.725;0;486.725;NaN
109;486.736;6101.48876325823;486.748;0;486.76;0;486.771;0;486.771;NaN
110;486.782;5401.16665199683;486.794;0;486.805;100.0004000016;486.817;0;486.817;0
111;486.828;6101.48876325823;486.84;0;486.851;0;486.863;0;486.863;NaN
112;486.874;5201.0818250196;486.886;0;486.897;0;486.909;0;486.909;NaN
113;486.92;5601.25468104855;486.932;0;486.943;100.0004000016;486.955;0;486.955;0
114;486.966;4900.9605882753;486.977;200.0016000128;486.989;100.0004000016;487;0;487;0
115;487.012;6201.53798141939;487.023;200.0016000128;487.035;0;487.046;0;487.046;NaN
116;487.058;5701.29989637637;487.069;100.0004000016;487.081;0;487.092;0;487.092;NaN
117;487.104;4800.92177698118;487.115;0;487.127;0;487.138;0;487.138;NaN
118;487.149;6001.44034568296;487.161;0;487.173;0;487.184;0;487.184;NaN
119;487.195;7402.19104855037;487.207;0;487.218;100.0004000016;487.23;0;487.23;0
120;487.241;4400.77453631839;487.253;100.0004000016;487.264;0;487.276;0;487.276;NaN
