sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
95;1256.453;52510.0610880405;1256.465;68688.205683573;1256.477;0;1256.488;0;1256.488;NaN
96;1256.499;55020.8257333103;1256.511;77942.2444958932;1256.522;0;1256.534;0;1256.534;NaN
97;1256.545;60345.3115101164;1256.557;75426.8840672744;1256.568;0;1256.58;0;1256.58;NaN
98;1256.591;62656.64160401;1256.603;72710.8614983452;1256.614;0;1256.626;0;1256.626;NaN
99;1256.637;58737.681124556;1256.649;70095.9883835203;1256.66;0;1256.672;0;1256.672;NaN
100;1256.683;55221.7086458555;1256.694;80055.5372749817;1256.706;0;1256.717;0;1256.717;NaN
101;1256.729;54619.0695716662;1256.74;80256.8218298555;1256.752;100.0004000016;1256.763;0;1256.763;0
102;1256.775;59039.0961104362;1256.786;72308.5378230818;1256.798;0;1256.809;0;1256.809;NaN
103;1256.82;56728.433172703;1256.832;75527.4887962543;1256.844;0;1256.855;0;1256.855;NaN
104;1256.866;59641.9478358493;1256.878;76835.4237383343;1256.89;0;1256.901;0;1256.901;NaN
105;1256.912;54719.5074041707;1256.924;75527.4887962543;1256.935;0;1256.947;0;1256.947;NaN
106;1256.958;58235.3389276679;1256.97;69794.307351667;1256.981;0;1256.993;100.0004000016;1256.993;NaN
107;1257.004;61249.6942527537;1257.016;69492.6335802845;1257.027;0;1257.039;0;1257.039;NaN
108;1257.05;55221.7086458555;1257.061;76533.5804876483;1257.073;0;1257.084;0;1257.084;NaN
109;1257.096;57833.4796710809;1257.107;74119.0960479176;1257.119;0;1257.13;0;1257.13;NaN
110;1257.142;58737.681124556;1257.153;76131.134123198;1257.165;0;1257.176;0;1257.176;NaN
111;1257.187;55422.5947796526;1257.199;78948.529972353;1257.211;0;1257.222;0;1257.222;NaN
112;1257.233;55523.0390545449;1257.245;73113.1980856177;1257.256;0;1257.268;0;1257.268;NaN
113;1257.279;59742.4259434492;1257.291;77237.8927095454;1257.302;0;1257.314;0;1257.314;NaN
114;1257.325;57632.5548762153;1257.337;77740.997090982;1257.348;0;1257.36;0;1257.36;NaN
115;1257.371;61551.1696727162;1257.383;74320.2853257054;1257.394;0;1257.406;0;1257.406;NaN
116;1257.417;58637.211073913;1257.428;77036.6566091032;1257.44;0;1257.452;0;1257.452;NaN
117;1257.463;58536.7418289123;1257.474;77439.1320397387;1257.486;0;1257.497;0;1257.497;NaN
118;1257.509;55523.0390545449;1257.52;77237.8927095454;1257.532;0;1257.543;0;1257.543;NaN
119;1257.555;57230.7149529525;1257.566;72610.2793690528;1257.578;0;1257.589;0;1257.589;NaN
120;1257.6;55924.8242076314;1257.612;68688.205683573;1257.624;0;1257.635;0;1257.635;NaN
121;1257.646;57833.4796710809;1257.658;77036.6566091032;1257.669;0;1257.681;0;1257.681;NaN
122;1257.692;59340.5183474468;1257.704;74420.8811753284;1257.715;0;1257.727;0;1257.727;NaN
123;1257.738;56427.0737701303;1257.75;71403.3567600526;1257.761;0;1257.773;0;1257.773;NaN
124;1257.784;62053.6448245857;1257.796;80760.047352475;1257.807;0;1257.819;0;1257.819;NaN
125;1257.83;57733.0168708705;1257.841;73515.5475855207;1257.853;0;1257.864;0;1257.864;NaN
126;1257.876;55623.4841347792;1257.887;78847.8977906538;1257.899;100.0004000016;1257.91;0;1257.91;0
127;1257.922;57230.7149529525;1257.933;74823.2726455744;1257.945;0;1257.956;0;1257.956;NaN
128;1257.967;55422.5947796526;1257.979;72409.1175314308;1257.99;0;1258.002;0;1258.002;NaN
129;1258.013;55322.1513100927;1258.025;75829.3078268684;1258.036;0;1258.048;0;1258.048;NaN
130;1258.059;53815.5958999932;1258.071;74420.8811753284;1258.082;0;1258.094;0;1258.094;NaN
131;1258.105;55523.0390545449;1258.117;75829.3078268684;1258.128;0;1258.14;0;1258.14;NaN
132;1258.151;59340.5183474468;1258.163;73716.727177903;1258.174;0;1258.186;100.0004000016;1258.186;NaN
133;1258.197;56125.7216164208;1258.208;75326.2801455572;1258.22;0;1258.231;0;1258.231;NaN
134;1258.243;56427.0737701303;1258.254;75728.7006760416;1258.266;100.0004000016;1258.277;0;1258.277;0
135;1258.289;52409.640968907;1258.3;69894.8668888862;1258.312;0;1258.323;0;1258.323;NaN
136;1258.335;58737.681124556;1258.346;77338.5119709183;1258.358;0;1258.369;0;1258.369;NaN
137;1258.38;57733.0168708705;1258.392;69392.077269883;1258.404;0;1258.415;0;1258.415;NaN
138;1258.426;49799.0004128207;1258.438;73515.5475855207;1258.449;0;1258.461;0;1258.461;NaN
139;1258.472;54217.3262941004;1258.484;72308.5378230818;1258.495;0;1258.507;0;1258.507;NaN
140;1258.518;54217.3262941004;1258.53;72912.0281779415;1258.541;0;1258.553;0;1258.553;NaN
141;1258.564;54116.8924877736;1258.575;76432.9676855054;1258.587;0;1258.599;0;1258.599;NaN
142;1258.61;59039.0961104362;1258.621;73213.78425001;1258.633;0;1258.644;0;1258.644;NaN
143;1258.656;56527.5260988791;1258.667;73616.1369781679;1258.679;0;1258.69;0;1258.69;NaN
144;1258.702;61651.6630912044;1258.713;71705.0765188439;1258.725;0;1258.736;0;1258.736;NaN
145;1258.747;51204.6623298021;1258.759;77841.6203896896;1258.771;0;1258.782;0;1258.782;NaN
146;1258.793;55824.3767113128;1258.805;72207.9589216945;1258.816;0;1258.828;0;1258.828;NaN
147;1258.839;54719.5074041707;1258.851;77439.1320397387;1258.862;0;1258.874;0;1258.874;NaN
