sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
98;5322.303;200.0016000128;5322.314;400.006400102402;5322.326;0;5322.337;0;5322.337;NaN
99;5322.348;300.003600043201;5322.36;100.0004000016;5322.372;0;5322.383;0;5322.383;NaN
100;5322.394;200.0016000128;5322.406;100.0004000016;5322.417;0;5322.429;0;5322.429;NaN
101;5322.44;300.003600043201;5322.452;400.006400102402;5322.463;0;5322.475;0;5322.475;NaN
102;5322.486;200.0016000128;5322.498;300.003600043201;5322.509;0;5322.521;0;5322.521;NaN
103;5322.532;100.0004000016;5322.544;400.006400102402;5322.555;0;5322.567;0;5322.567;NaN
104;5322.578;0;5322.589;600.014400345608;5322.601;100.0004000016;5322.612;0;5322.612;0
105;5322.624;100.0004000016;5322.635;0;5322.647;0;5322.658;0;5322.658;NaN
106;5322.67;300.003600043201;5322.681;200.0016000128;5322.693;0;5322.704;0;5322.704;NaN
107;5322.715;300.003600043201;5322.727;200.0016000128;5322.739;0;5322.75;0;5322.75;NaN
108;5322.761;100.0004000016;5322.773;0;5322.784;100.0004000016;5322.796;0;5322.796;0
109;5322.807;0;5322.819;200.0016000128;5322.83;100.0004000016;5322.842;0;5322.842;0
110;5322.853;100.0004000016;5322.865;200.0016000128;5322.876;0;5322.888;0;5322.888;NaN
111;5322.899;100.0004000016;5322.911;200.0016000128;5322.922;0;5322.934;0;5322.934;NaN
112;5322.945;100.0004000016;5322.956;300.003600043201;5322.968;100.0004000016;5322.98;0;5322.98;0
113;5322.991;200.0016000128;5323.002;400.006400102402;5323.014;0;5323.025;0;5323.025;NaN
114;5323.037;100.0004000016;5323.048;100.0004000016;5323.06;0;5323.071;0;5323.071;NaN
115;5323.083;100.0004000016;5323.094;100.0004000016;5323.106;100.0004000016;5323.117;0;5323.117;0
116;5323.128;400.006400102402;5323.14;100.0004000016;5323.152;0;5323.163;0;5323.163;NaN
117;5323.174;100.0004000016;5323.186;0;5323.197;0;5323.209;0;5323.209;NaN
