sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
179;5747.23;97277.0458296357;5747.242;35049.0686961746;5747.253;0;5747.265;0;5747.265;NaN
180;5747.276;113210.352268024;5747.288;42070.6787402837;5747.299;0;5747.311;100.0004000016;5747.311;NaN
181;5747.322;104333.610485176;5747.334;37054.8411649241;5747.345;0;5747.357;0;5747.357;NaN
182;5747.368;95765.4409225605;5747.379;31138.7365883159;5747.391;100.0004000016;5747.403;0;5747.403;0
183;5747.414;109679.078213637;5747.425;32843.0901342561;5747.437;0;5747.448;0;5747.448;NaN
184;5747.46;110889.688866032;5747.471;33143.8825004306;5747.483;0;5747.494;0;5747.494;NaN
185;5747.506;118458.650998107;5747.517;31138.7365883159;5747.529;0;5747.54;0;5747.54;NaN
186;5747.551;104837.802663925;5747.563;33544.9502333126;5747.574;0;5747.586;0;5747.586;NaN
187;5747.597;107459.928493954;5747.609;33043.6175751993;5747.62;0;5747.632;0;5747.632;NaN
188;5747.643;109779.957976272;5747.655;34647.952766629;5747.666;0;5747.678;0;5747.678;NaN
189;5747.689;102115.40546945;5747.7;37355.7347562563;5747.712;100.0004000016;5747.724;0;5747.724;0
190;5747.735;113311.260406956;5747.746;33143.8825004306;5747.758;0;5747.769;0;5747.769;NaN
191;5747.781;86296.8612025367;5747.792;36854.249455198;5747.804;100.0004000016;5747.815;0;5747.815;0
192;5747.827;103426.115596257;5747.838;29434.6151073663;5747.85;0;5747.861;0;5747.861;NaN
193;5747.872;85289.9859522376;5747.884;32742.827618525;5747.895;0;5747.907;0;5747.907;NaN
194;5747.918;98587.2507208314;5747.93;31539.7400724913;5747.941;100.0004000016;5747.953;0;5747.953;0
195;5747.964;89519.4052378888;5747.976;36051.9147572504;5747.987;0;5747.999;0;5747.999;NaN
196;5748.01;103123.631879762;5748.022;32241.5270868879;5748.033;100.0004000016;5748.045;0;5748.045;0
197;5748.056;102317.044272455;5748.068;31639.9929510902;5748.079;0;5748.091;0;5748.091;NaN
198;5748.102;105442.860012051;5748.113;31539.7400724913;5748.125;0;5748.137;0;5748.137;NaN
199;5748.148;108065.112243094;5748.159;31238.986254846;5748.171;200.0016000128;5748.182;0;5748.182;0
200;5748.194;110385.253574714;5748.205;34547.6757925938;5748.217;0;5748.228;0;5748.228;NaN
201;5748.24;111797.723464866;5748.251;33244.1482288479;5748.263;0;5748.274;0;5748.274;NaN
202;5748.285;111293.251691497;5748.297;33645.2191745706;5748.309;100.0004000016;5748.32;0;5748.32;0
203;5748.331;119569.149149954;5748.343;39863.462632511;5748.354;0;5748.366;0;5748.366;NaN
204;5748.377;108569.454320482;5748.389;38860.311202987;5748.4;100.0004000016;5748.412;0;5748.412;0
205;5748.423;114421.303458557;5748.435;38459.0731363374;5748.446;0;5748.458;0;5748.458;NaN
206;5748.469;105745.399623213;5748.48;38358.7656289435;5748.492;0;5748.503;0;5748.503;NaN
207;5748.515;113109.44494001;5748.526;36854.249455198;5748.538;0;5748.549;0;5748.549;NaN
208;5748.561;113311.260406956;5748.572;35650.7666917691;5748.584;0;5748.595;0;5748.595;NaN
209;5748.607;127951.529186618;5748.618;39060.9350586916;5748.63;200.0016000128;5748.641;0;5748.641;0
210;5748.652;134722.110512346;5748.664;36051.9147572504;5748.676;0;5748.687;0;5748.687;NaN
211;5748.698;125325.121707075;5748.71;32642.5659059413;5748.721;0;5748.733;0;5748.733;NaN
212;5748.744;143114.608350732;5748.756;36252.4936107484;5748.767;0;5748.779;0;5748.779;NaN
213;5748.79;132397.469871282;5748.802;34547.6757925938;5748.813;0;5748.825;0;5748.825;NaN
214;5748.836;131993.228435745;5748.848;33544.9502333126;5748.859;0;5748.871;0;5748.871;NaN
215;5748.882;141799.750593346;5748.893;37054.8411649241;5748.905;0;5748.917;0;5748.917;NaN
216;5748.928;139170.447597902;5748.939;36051.9147572504;5748.951;400.006400102402;5748.962;0;5748.962;0
217;5748.974;158802.360499473;5748.985;35751.0525029742;5748.997;200.0016000128;5749.008;0;5749.008;0
218;5749.02;150399.388342287;5749.031;36854.249455198;5749.043;0;5749.054;0;5749.054;NaN
219;5749.065;155966.995371302;5749.077;32742.827618525;5749.088;0;5749.1;0;5749.1;NaN
220;5749.111;164677.650545168;5749.123;36152.2037822616;5749.134;0;5749.146;0;5749.146;NaN
221;5749.157;154752.034516345;5749.169;31138.7365883159;5749.18;0;5749.192;0;5749.192;NaN
222;5749.203;167008.266858875;5749.215;36051.9147572504;5749.226;100.0004000016;5749.238;0;5749.238;0
223;5749.249;171569.417147276;5749.26;37255.4360889003;5749.272;100.0004000016;5749.284;0;5749.284;0
224;5749.295;177552.0973908;5749.306;33845.7594667991;5749.318;0;5749.329;0;5749.329;NaN
225;5749.341;179885.099148316;5749.352;45884.059597182;5749.364;0;5749.375;0;5749.375;NaN
226;5749.387;181001.035442763;5749.398;38258.4589252378;5749.41;0;5749.421;0;5749.421;NaN
227;5749.432;170758.42515626;5749.444;40064.1025641026;5749.456;100.0004000016;5749.467;0;5749.467;0
228;5749.478;170555.685323754;5749.49;31339.2367243789;5749.501;0;5749.513;0;5749.513;NaN
229;5749.524;154853.276771807;5749.536;32442.0448901777;5749.547;100.0004000016;5749.559;0;5749.559;0
230;5749.57;170150.215456486;5749.582;38760.0004807442;5749.593;0;5749.605;0;5749.605;NaN
231;5749.616;184755.365360283;5749.627;35951.6265357053;5749.639;0;5749.651;0;5749.651;NaN
232;5749.662;185364.281108962;5749.673;35851.3391176164;5749.685;0;5749.696;0;5749.696;NaN
233;5749.708;180493.779410817;5749.719;38459.0731363374;5749.731;0;5749.742;0;5749.742;NaN
234;5749.754;155764.493745271;5749.765;38760.0004807442;5749.777;0;5749.788;0;5749.788;NaN
235;5749.799;189322.951301986;5749.811;36753.9548056547;5749.823;0;5749.834;0;5749.834;NaN
236;5749.845;194298.429488213;5749.857;38760.0004807442;5749.868;0;5749.88;0;5749.88;NaN
237;5749.891;149690.960597476;5749.903;35349.9140786791;5749.914;100.0004000016;5749.926;0;5749.926;0
238;5749.937;178059.234909278;5749.949;34647.952766629;5749.96;0;5749.972;0;5749.972;NaN
239;5749.983;166298.903152029;5749.994;33143.8825004306;5750.006;0;5750.017;0;5750.017;NaN
240;5750.029;185465.769929763;5750.04;41769.6718125834;5750.052;0;5750.063;0;5750.063;NaN
241;5750.075;172380.461399665;5750.086;38960.6227289663;5750.098;0;5750.109;0;5750.109;NaN
242;5750.121;198971.075613041;5750.132;37355.7347562563;5750.144;100.0004000016;5750.155;0;5750.155;0
243;5750.166;183639.096290148;5750.178;37556.3345017526;5750.189;0;5750.201;0;5750.201;NaN
244;5750.212;184856.849273669;5750.224;37656.6355799122;5750.235;0;5750.247;0;5750.247;NaN
245;5750.258;174205.502074355;5750.27;40465.3920735909;5750.281;0;5750.293;0;5750.293;NaN
246;5750.304;166906.926738127;5750.316;40565.7164606663;5750.327;100.0004000016;5750.339;0;5750.339;0
247;5750.35;178059.234909278;5750.361;39462.1924152464;5750.373;0;5750.385;0;5750.385;NaN
248;5750.396;165285.59579317;5750.407;39161.2481921726;5750.419;0;5750.43;0;5750.43;NaN
249;5750.442;160828.012656903;5750.453;39963.7821963854;5750.465;0;5750.476;0;5750.476;NaN
250;5750.488;163056.606812143;5750.499;37756.9374616922;5750.511;0;5750.522;0;5750.522;NaN
251;5750.533;176132.221018244;5750.545;39963.7821963854;5750.556;100.0004000016;5750.568;0;5750.568;0
252;5750.579;174408.3007073;5750.591;41368.3404985035;5750.602;100.0004000016;5750.614;0;5750.614;0
253;5750.625;182421.461063947;5750.637;41970.3422936842;5750.648;0;5750.66;0;5750.66;NaN
254;5750.671;155258.253943338;5750.683;33344.4147604609;5750.694;0;5750.706;0;5750.706;NaN
255;5750.717;168731.173789082;5750.728;39261.5621294189;5750.74;0;5750.752;0;5750.752;NaN
256;5750.763;172583.230629194;5750.774;38158.1530252104;5750.786;200.0016000128;5750.797;0;5750.797;0
257;5750.809;149994.567601173;5750.82;35249.6314811254;5750.832;0;5750.843;0;5750.843;NaN
258;5750.855;163563.160543533;5750.866;37756.9374616922;5750.878;0;5750.889;0;5750.889;NaN
259;5750.9;155865.744150758;5750.912;37857.2401471024;5750.924;0;5750.935;0;5750.935;NaN
260;5750.946;136036.228066295;5750.958;34246.8496903764;5750.969;0;5750.981;100.0004000016;5750.981;NaN
261;5750.992;149488.560000644;5751.004;38960.6227289663;5751.015;200.0016000128;5751.027;0;5751.027;0
262;5751.038;145643.56754321;5751.05;39261.5621294189;5751.061;0;5751.073;0;5751.073;NaN
263;5751.084;135126.439740042;5751.095;43776.5213593361;5751.107;0;5751.119;0;5751.119;NaN
264;5751.13;152018.801637095;5751.141;34447.3996218797;5751.153;0;5751.164;0;5751.164;NaN
265;5751.176;161334.476664372;5751.187;40465.3920735909;5751.199;100.0004000016;5751.21;0;5751.21;0
266;5751.222;140788.415124698;5751.233;40866.6944453348;5751.245;0;5751.256;0;5751.256;NaN
267;5751.267;152120.021892405;5751.279;38358.7656289435;5751.291;0;5751.302;0;5751.302;NaN
268;5751.313;140687.286052751;5751.325;37456.0342272039;5751.336;0;5751.348;0;5751.348;NaN
269;5751.359;143114.608350732;5751.371;39161.2481921726;5751.382;100.0004000016;5751.394;0;5751.394;0
270;5751.405;131589.000004021;5751.417;40164.423735672;5751.428;0;5751.44;0;5751.44;NaN
271;5751.451;140080.52870595;5751.463;37054.8411649241;5751.474;0;5751.486;0;5751.486;NaN
